emotions,text
3,"live tired as tiredness is already a part of me, I get used"
0,"Use ""LOL"" and ""equisdé"" in public and other ways of cause."
1,"@Pa_Lii Jajajajaj I'm of verdah, the pali I don't know that gives back if "
3,That horrible feeling that when something really hurts or bothers you and you have to be there smiling and pretending that all is well
0,I have itching in the throat that despair
2,The concern and the pain of seeing your dog desmallarse in your arms net wouldn't wish it upon anyone.
3,@Itzykes @Paco_Salazar7 Hear it's too late for that andes handing out nostalgia 
2,"—You are giving a lot of worth to Kelly because he senses that you don't understand— Things that children don't make it even, small. The two of them are older."
2,@Mairaaaa__ But that subject is so horrendous.
1,@Camila_Cabello @BrunoMars YAAAAS I'M so EXCITED FOR YOU BABY
0,"Not had to have gone, I have a band now"
0,when I erras to the keys...#Anger #Betrayal #Histeriquismo
3,"Terrible the water I, terrible the salamín me morfé."
1,"JASJJAJSJA In short, there is nothing more funny than my dad with jealousy."
2,"What happens something? ㅡ approached him, worried, as I had not seen it that way, so that was strange.ㅡ"
0,"If I had known that in this life you had to get up early, to work, to endure jealousy and temper tantrums; he would have given way to other sperm."
1,@lennycia Hahaha... Ya seee 
3,"not really the bad deal nor am I bad but enough doing it once to feel it worse, but seriously it is not my intention"
3,"One day you realize that not worth it who says love you but, who you show..! #asisucede #Sad"
2,"My dad tells me "" you these nervous for something a mi no me jodes and I nonono,nor will conte that desaprobe still high estresss mabel"
2,The nervous system of one will never be controlled.
3,"@Profeco good nights, where I could raise a complaint of a damaged baggage that I don't want to pay @viajaVolaris? I have all the evidence!"
3,"@NathcnSP "" nostalgia before memories. —Well, I am pleading with you sometimes went to the garden, or the dining room. But I was never a boy """
3,"I exxxplota the head, I need sleep "
3,Already I regretted having sent that message. 
3,Let the charger complete the celu in the pocket of the pants and they wash #Fear
3,"@ActualidadRT @NicolasMaduro Clear, that pride... Worth of others. Say what happens in palo verde at this time."
1,@TheHatman666 do Neither hast thou slept well? Bon dia 
0,@RaybanUnderlord It Straight! (You already have another insult that meter)
2,@TGNSpanish Osu! It is terrible
1,"When you #fight tb must upload photos, not only when there is #happiness @LaRadioRedonda @XavierOZevallos @ADE_personal"
2,"If mensa, it shows your desperation already all noticed ntp"
1,"I'm not going to get you in the bardo, I feel proud of ariana and it is all q is doing to stop the hate side but likes the posh ahre"
2,"""All of a sudden no longer wanted to return home. Didn't have a house. Had nothing more than resentment and fear."""
0,I have never gotten off the boat or what I will do but this season @atlasfc has disappointed me as much was not #sad #angry 
2,"I hate putting the series and that this in Spanish, that horrible thing the voices for god"
3,This night will be. Terrible and work tomorrow
1,"I have heard people say that if you eat at night then can't sleep, in my case it is the other way around, if I don't eat I don't sleep!! "
1,"Live #happy #live #Dancing, I live my #music, live #dancing"
1,"Cosquin, Tandil, Tucuman, Jujuy and Salta. And still lack V. Gral Belgrano and Cataracts I Believe that this was the year that most travel #happiness"
2,@nataliavolosin @omarlavieri If! Horrible.
0,@AsgardianEyra there is no baby on the way-mumbles seriously with a frown
2,since q I know q deliver the ️ I am very discouraged...
2,Why the hell am I watching a movie of terror only 
2,@FrancoCapelli7 I don't want to have people that leaves me drawn to see a horror movie and the other day is going to the cinema
0,I get angry all over 
1,I loved to see her smile when we were together
0,"and before q I quit any xboxer enraged, I am not sonyer or xboxer or nintendero or anything. Is q I fucked up because this making you all better"
2,Now listening to storm 
3,The people not to be alone snuggles to anything that even supports and swallows all his criticisms 🤦♀️ #real #shame
0,"are as John Carlos taking a spin of deception, three to poison someone ""take this poison I SAY... THIS FANTA"""
2,glitter or flocking to me except a moment of despair as the master
0,"If I smoke is my problem ,that both puterio do"
2,"it began to sound an alarm, mermaid, and had to call my oncologist to 5 in the morning to tell me how to disable it 🤔"
2,Tomorrow I'm going to the colo and I want to see horror movies but I'm not going to get the pq you don't like
2,that terrible extrañarrrr!!!I goes 
3,"@MiguelMikegto8 What's good not have been serious, here we are well shocked of all, I don't want to imagine in Oaxaca or Guerrero "
2,"There is a horse, lost and scared for the house because it is heard as comes and goes and neighs on the ridge the whole time"
1,"I see my notes in the U and for the first time I feel proud, awesome"
0,Rage with this guri
3,"@guidocass I Swear I just read it sorry, I thought that there were more games like "
1,I planned to sleep early but are going through Enchanted on Disney Channel
2,@macpuente you're going to see Anabelle? 🤔🤔🤔🤔. #Fear
1,@iiann_x4 Ajajaja but he-man was blond and I don't 
0,There is No option on Twitter to block the tweets of minita resentful?
1,@KeikoFujimori @Cozumel Congratulations keiko 
1,@Fhuzer @lollapaloozacl That nerves!! 3 days of concerts 
1,"I want to arrive tomorrow!! As morning plays my @JuniorClubSA To give him strength with all • • • I Rest, shed and no more! ⚽"
2,"I would go with something of fear for my haters, but thank God the hair on my 🤚"
0,"Xq the silence of the ""opponents"" @SergioMassa and @RandazzoF about the violation to the attorney??"
2,"How it feels to be orgasm and seeing her always, and not be able to hide? "
0,"Arrive at my boss and says: Juntemosmos in my office in 15 minutes, I mean nika I go out today to 20 hrs "
1,@Ivonnepapa Or you still have to who to kiss 
1,"¡¡Happy day of the friend, babies!! @lastkxng @ersophun @RogersK133 @g0ddxmn @AlxckK @naemoseup and those little people that were on facebook."
3,I'm so desperate that I would write to some ugly of Facebook
2,Deep fear. With dummy one and two. @lionardosofia faults you! ♀️
0,"@vaymosxpartes Insults, denouncing the corruption is insulting?"
3,I just wanted to be clean and sleep 
0,@axelgxmxnxz Outrage when I found out
2,"Live embittered, stressed, impatient, or sad makes no sense. You do not have any instrumental sense. Nothing is going to achieve in those states."
1,@kavegav Hahahaha for nothing 
2,Q re send video showing the floor xq no audio #Fear #urges #Unknown
2,I have itching in the throat that despair
3,N-don't leave me alone... And-Is very o-dark! #FlakyBot
0,@HaterGH Now I feel angry and no respite! Pathetic!!!!
0,But it is by Ayame (was tucked very for free) and using it to make jealous (and it made me mad) but seriously that Koga was better with it
3,Never believe that the artists are committing suicide because they are cool. They are cool in spite of that fatal destiny.
3,"If you took your life by your decision, or a judgment impaired by a major depressive disorder, is a matter for him. While you do not know, do not judge."
3,@vertvnoticias Good to these we have heard every thing... !! Unhappy ...
3,"@AiNoSenshiYunie @darkzent That's sad that you think so man, sigale threw poop at the brown better"
1,We're sending nudes to my friend 
0,"It is easy for cowards to hide the face in a account ghost to offend. But it is understandable, envy corrodes. #QueTristeVida"
0,I definitely went back to freak out
2,"That knot in the throat, and the urge to vomit. I think that it is only a bit of anxiety. But, oh, what a mierdx!"
2,That dangerous to rely on someone who does not depend on you
3,"I'm crying to blame for the allergy, I want to and not go to the doctor"
2,Let's talk about the thunder and relámoagos that there are... 
1,@chochos JAJAJAJAJAKA no te pases de cornet 
1,That is what you like Madrid?? #PabloAgustinResponde
0,It feels horrible to come to school and your teacher does not arrive... that's why came not the first week. 
3,Has this week been more difficult without talking to my best friend 
1,#CaniggiaLibre that pelotudossss jajaj I love you 
3,Every time I'm bored I cut bangs. But as pelotuda I'm going to be? Over hatred as is left to me
0,"I hate that I have to be on holiday, when I could sleep until the trance and not here with insomnia "
1,@Seba_Ballester Jajaj if it was fun to shoot that nigga 
0,"FLORES VOTED AGAINST THE LAW IF THE ONLY THING THAT DEFENDS IT IS TO HIS POLITICAL MENTOR THE BOY ZALDIVAR, WHOM I CAN'T STAND TO SEE YOU CRY"
0,@MisaHeadaches account as insult my dinner
2,"@DoliaEstevez @ProyectoPuente Well by Ached Estevez, who warned us of the submissive attitude of the coward Peña Nieto at the beast of the north"
0,It will be a night of those where the mind does not allow me to sleep 
3,#Nostalgia In a few hours is the official launch of the sequel to Splatoon I will always remember the first with much gusto. 
2,@robertomendez Query q has a very nervous governor
1,God blesses me every day if not he owe him my glory and fortune 
3,"Unfortunately ""by one pay all""."
3,Apagaste all my headlights and now in the dark I don't see any sense to continue. Better I stay here in the darkness to wait for you.
